,userId,movieId,rating,timestamp
0,1,110,1.0,1425941529
1,1,147,4.5,1425942435
2,1,858,5.0,1425941523
3,1,1221,5.0,1425941546
4,1,1246,5.0,1425941556
5,1,1968,4.0,1425942148
6,1,2762,4.5,1425941300
7,1,2918,5.0,1425941593
8,1,2959,4.0,1425941601
9,1,4226,4.0,1425942228
10,1,4878,5.0,1425941434
11,1,5577,5.0,1425941397
12,1,33794,4.0,1425942005
13,1,54503,3.5,1425941313
14,1,58559,4.0,1425942007
15,1,59315,5.0,1425941502
16,1,68358,5.0,1425941464
17,1,69844,5.0,1425942139
18,1,73017,5.0,1425942699
19,1,81834,5.0,1425942133
20,1,91500,2.5,1425942647
21,1,91542,5.0,1425942618
22,1,92439,5.0,1425941424
23,1,96821,5.0,1425941382
24,1,98809,0.5,1425942640
25,1,99114,4.0,1425941667
26,1,112552,5.0,1425941336
27,2,5,3.0,867039249
28,2,25,3.0,867039168
29,2,32,2.0,867039166
30,2,58,3.0,867039325
31,2,64,4.0,867039612
32,2,79,4.0,867039325
33,2,141,3.0,867039168
34,2,260,4.0,867039249
35,2,339,5.0,867041296
36,2,377,4.0,867041121
37,2,605,4.0,867039973
38,2,628,4.0,867039325
39,2,648,4.0,867039167
40,2,762,3.0,867039325
41,2,780,3.0,867039165
42,2,786,1.0,867039249
43,2,788,1.0,867039288
44,2,1210,4.0,867039325
45,2,1233,4.0,867039820
46,2,1356,5.0,867039288
47,2,1475,3.0,867040824
48,2,1552,2.0,867040735
49,3,480,3.0,1048076925
50,3,500,2.0,1048076945
51,3,527,4.0,1048076900
52,3,858,4.0,1048076945
53,3,1092,3.0,1048076995
54,3,1097,3.0,1048076961
55,3,1270,3.0,1048076976
56,3,1968,3.0,1048077048
57,3,3101,3.0,1048076830
58,3,4474,3.0,1048077030
59,4,223,4.0,1042668576
60,4,415,4.0,1042667925
61,4,648,4.0,1042674800
62,4,1097,5.0,1042667925
63,4,1197,4.0,1042667956
64,4,1210,2.0,1042667865
65,4,1221,5.0,1042667903
66,4,1422,4.0,1042674861
67,4,1431,3.0,1042667945
